oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
vo:g,road,noun,4,[vɔːg̥],vopog,[ˈvɔ.pɔg̥],roads,Any,,Ba: ’o ka:c g vo:g?::Where is the road?,audio/road.mp3,audio/roads.mp3,,audio/examples/whereistheroad.mp3,
vainomĭ,knife,noun,2,[ˈvɑi.nɔ.mĭ̥],vapainomĭ,[ˈvɑ.pɑi.nɔ.mĭ̥],knives,Any,,Pi g ’am hu ṣa’i hekaj hegi vainomĭ.::Don’t use that knife.,audio/knife.mp3,audio/knives.mp3,,audio/examples/dontusethatknife.mp3,
kavyu,horse,noun,2,[ˈkɑv.ju],kakavyu,[ˈkɑ.kɑv.ju],horses,Any,,No ’i:da ḍ m-kavyuga?::Is this your horse?,audio/horse.mp3,audio/horses.mp3,,audio/examples/isthisyourhorse.mp3,
ma:gina,car,noun,4,[ˈmɑː.gi.nɑ],mamagina,[ˈmɑ.mɑ.gi.nɑ],cars,Any,,No meḍ g ma:gina?::Is the car running?,audio/carmagina.mp3,audio/carsmagina.mp3,,audio/examples/isthecarrunning.mp3,
kalit,car,noun,1,[ˈkɑ.ɽit],kaklit,[ˈkɑk.ɽit],cars,Any,,’Ant o vakoa g ñ-kalit.::I’m going to wash my car.,audio/carkalit.mp3,audio/carskalit.mp3,,audio/examples/imgoingtowashmycar.mp3,
’o’ohon,book,noun,1,[ˈʔɔ.ʔɔ̆.hɔn],’o’’ohon,[ˈʔɔʔ.ʔɔ̆.hɔn],books,Any,,Ñeokculid g ’o’ohon.::Read the book.,audio/book.mp3,audio/books.mp3,,audio/examples/readthebook.mp3,
’i:bdag,heart,noun,4,[ˈʔiːb.d̪ɑg̥],’i’ibdag,[ˈʔi.ʔib.d̪ɑg̥],hearts,Any,,B ’o ṣa ma:s mo g ’i:bdag.::It looks kind of like a heart.,audio/heart.mp3,audio/hearts.mp3,,audio/examples/itlookskindoflikeaheart.mp3,
da:k,nose,noun,1,[d̪ɑːk],da:dk,[ˈd̪ɑːd̪k],noses,Any,,S-mohogid g ñ-da:k.::My nose itches.,audio/nose.mp3,audio/noses.mp3,,audio/examples/mynoseitches.mp3,
na:k,ear,noun,1,[nɑːk],na:nk,[ˈnɑːn̥k],ears,Any,,S-ko’ok g ñ-na:k.::I have an earache.,audio/ear.mp3,audio/ears.mp3,,audio/examples/ihaveanearache.mp3,
kusvo,neck,noun,1,[ˈkus.vɔ],kuksvo,[ˈkuks.vɔ],necks,Any,,Hegi mi:tol ’at ’an si hukṣ g ñ-kusvo.::That cat really scratched my neck.,audio/neck.mp3,audio/necks.mp3,,audio/examples/thatcatreallyscratchedmyneck.mp3,
ba:ṣo,chest,noun,3,[ˈbɑː.ʂɔ],babṣo,[ˈbɑb.ʂɔ],chests,Any,,Si ñ-ṣoñhi ’an ñ-ba:ṣo ’an.::He sure punched me in the chest.,audio/chest.mp3,audio/chests.mp3,,audio/examples/hesurepunchedmeintheches.mp3,
kotva,shoulder,noun,1,[ˈkɔt.vɑ],koktva,[ˈkɔkt.vɑ],shoulders,Any,,No s-kokok g m-koktva?::Do you shoulders hurt?,audio/shoulder.mp3,audio/shoulders.mp3,,audio/examples/doyourshouldershurt.mp3,
to:n,knee,noun,2,[tɔːn̥],to:ton,[ˈtɔː.tɔn̥],knees,Any,,Mant s-ko’okam ju: g ñ-to:n.::I hurt my knee.,audio/knee.mp3,audio/knees.mp3,,audio/examples/ihurtmyknee.mp3,
